
Solucion numero: 1
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	9	18		9 - 4 - 2 - 0 - 1 - 16 - 18		155
	13	2		13 - 12 - 11 - 9 - 4 - 2		330
	14	1		14 - 11 - 9 - 4 - 2 - 1		313
	4	5		4 - 2 - 0 - 1 - 16 - 5		411
	7	5		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		145
	14	10		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		341
	7	0		7 - 6 - 4 - 2 - 0		401
	15	5		15 - 0 - 1 - 2 - 3 - 4 - 5		217
	4	18		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 18		214
	11	18		11 - 9 - 4 - 2 - 1 - 16 - 18		436
	14	6		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		239
	4	15		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 15		235
	12	15		12 - 11 - 9 - 4 - 2 - 0 - 15		418
	15	9		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9		120
	5	1		5 - 4 - 2 - 1		209
	4	0		4 - 2 - 0		270
	10	1		10 - 5 - 4 - 2 - 1		425
	4	7		4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		263
	9	2		9 - 4 - 2		173
	6	16		6 - 4 - 2 - 0 - 1 - 16		295
	9	4		9 - 4		269
	17	4		17 - 10 - 5 - 4		287
	6	10		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		125
	13	15		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15		244
	17	18		17 - 10 - 5 - 4 - 16 - 18		76
	13	9		13 - 12 - 11 - 9		25
	10	8		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		69
	13	10		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		395
	13	18		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		12
	0	9		0 - 1 - 2 - 3 - 4 - 5 - 9		395
	4	9		4 - 2 - 0 - 1 - 16 - 5 - 9		277
	2	18		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		298
	10	17		10 - 5 - 4 - 2 - 0 - 15 - 17		95
	14	13		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13		396
	15	11		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11		448
	4	1		4 - 2 - 0 - 1		51
	17	9		17 - 10 - 5 - 4 - 9		197
	2	7		2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		357
	7	1		7 - 6 - 4 - 2 - 0 - 1		192
	15	10		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10		259
	18	1		18 - 5 - 4 - 2 - 1		102
	6	13		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		275
	7	2		7 - 6 - 4 - 2		13
	5	17		5 - 4 - 2 - 0 - 1 - 16 - 17		62
	10	15		10 - 5 - 4 - 2 - 0 - 15		108
	18	9		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9		36
	15	8		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		291
	8	16		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16		245
	18	5		18 - 5		347
	15	1		15 - 0 - 1		314
	6	18		6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		87
	2	5		2 - 0 - 1 - 16 - 4 - 5		106
	12	0		12 - 11 - 9 - 4 - 2 - 0		377
	0	7		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		63
	18	17		18 - 5 - 4 - 2 - 0 - 15 - 17		329
	17	14		17 - 10 - 5 - 4 - 15 - 14		218
	0	8		0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		381
	15	6		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6		422
	4	17		4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		292
	5	8		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 8		413
	4	11		4 - 2 - 0 - 1 - 16 - 5 - 9 - 11		370
	2	8		2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		416
	17	0		17 - 10 - 5 - 4 - 2 - 0		414
	15	17		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10 - 17		429
	2	0		2 - 0		184
	16	1		16 - 1		0
	17	7		17 - 10 - 5 - 4 - 6 - 7		225
	9	3		9 - 4 - 3		284
	6	3		6 - 4 - 3		400
	9	11		9 - 4 - 2 - 0 - 15 - 11		213


Solucion numero: 11
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	0	12		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		364
	0	13		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		24
	0	14		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		18
	1	12		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		260
368
	1	13		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		363
148
	1	14		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		34
423
	3	12		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		59
	3	13		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		433
	3	14		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		66
	16	12		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12		329
	16	13		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12 - 13		394
	16	14		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 14		419
	0	17		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		124
	0	18		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		86
	1	0		1 - 0		301
	1	5		1 - 0 - 2 - 3 - 4 - 5		111
	1	6		1 - 0 - 2 - 3 - 4 - 5 - 6		271
	1	10		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		291
81
	1	11		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		296
82
	0	5		0 - 1 - 2 - 3 - 4 - 5		249
	0	6		0 - 1 - 2 - 3 - 4 - 5 - 6		195
	0	10		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		251
	1	15		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		192
265
	1	16		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		20
221
	1	17		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		207
229
	1	18		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		115
224
	2	3		2 - 0 - 1 - 16 - 4 - 3		203
	2	12		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		71
	2	13		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		87
	2	14		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		170
	3	0		3 - 2 - 0		423
	3	2		3 - 2		71
	3	4		3 - 2 - 0 - 1 - 16 - 4		376
	3	5		3 - 2 - 0 - 1 - 16 - 4 - 5		99
	3	6		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6		245
	3	10		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10		407
	3	11		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		30
	0	11		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		232
	0	1		0 - 1		169
	0	2		0 - 1 - 2		36
	3	15		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		262
	3	18		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		415
	4	3		4 - 3		404
	4	12		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12		429
	4	13		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12 - 13		26
	4	14		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 14		371
	5	3		5 - 4 - 3		268
	5	4		5 - 4		48
	8	3		8 - 7 - 6 - 4 - 3		77
	8	4		8 - 7 - 6 - 4		374
	8	12		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		233
	8	13		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		25
	8	14		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		2
	10	3		10 - 5 - 4 - 3		70
	10	4		10 - 5 - 4		4
	12	11		12 - 11		233
	13	12		13 - 12		280
	15	13		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12 - 13		293
	16	0		16 - 1 - 0		186
	16	5		16 - 1 - 0 - 2 - 3 - 4 - 5		43
	16	6		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6		317
	16	10		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10		277
	16	11		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 11		431
	0	3		0 - 1 - 2 - 3		178
	0	15		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		104
	0	16		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		396
	16	15		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 15		47
	16	18		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 18		7
	18	3		18 - 5 - 4 - 3		69
	18	4		18 - 5 - 4		406
	2	6		2 - 0 - 1 - 16 - 4 - 5 - 6		286
	3	7		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		196
	5	6		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7 - 6		121
	6	7		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 7		4
	6	8		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		447
	7	3		7 - 6 - 4 - 3		391
	7	4		7 - 6 - 4		38
	7	6		7 - 6		316
	7	8		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		321
	7	12		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		190
	7	13		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		109
	7	14		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		234
	8	0		8 - 7 - 6 - 4 - 2 - 0		189
	8	1		8 - 7 - 6 - 4 - 2 - 0 - 1		29
	8	2		8 - 7 - 6 - 4 - 2		335
	3	8		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		393
	2	10		2 - 0 - 1 - 16 - 4 - 5 - 10		151
	8	5		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		341
	8	6		8 - 7 - 6		380
	8	7		8 - 7		208
	8	9		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		420
	8	10		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		213
	8	11		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		73
	2	11		2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		369
	1	7		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		108
	1	8		1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		153
	8	15		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		157
	8	17		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		191
	8	18		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		390
	9	8		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7 - 8		360
	10	0		10 - 5 - 4 - 2 - 0		120
	10	2		10 - 5 - 4 - 2		150
	7	18		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		287
	13	3		13 - 12 - 11 - 9 - 4 - 3		251
	9	0		9 - 4 - 2 - 0		315
	16	7		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6 - 7		169
	17	10		17 - 10		159
	4	6		4 - 2 - 0 - 1 - 16 - 5 - 6		259
	16	4		16 - 1 - 0 - 2 - 4		179
	6	4		6 - 4		342
	15	4		15 - 0 - 1 - 2 - 4		443
	13	0		13 - 12 - 11 - 9 - 4 - 2 - 0		40
	18	2		18 - 5 - 4 - 2		264
	18	0		18 - 5 - 4 - 2 - 0		36
	6	1		6 - 4 - 2 - 0 - 1		90
	4	16		4 - 2 - 0 - 1 - 16		421
	2	15		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		105
	12	1		12 - 11 - 9 - 4 - 2 - 1		179
	10	11		10 - 5 - 4 - 2 - 0 - 15 - 11		311
	2	17		2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		414
	2	4		2 - 0 - 1 - 16 - 4		362
	18	7		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		449
	13	14		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		340
	11	10		11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		273
	12	2		12 - 11 - 9 - 4 - 2		356
	9	7		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		354
	10	9		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9		75
	13	8		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		329
	17	8		17 - 10 - 5 - 4 - 6 - 7 - 8		52
	7	9		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		355
	12	3		12 - 11 - 9 - 4 - 3		400
	12	18		12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		240
	12	13		12 - 11 - 9 - 4 - 2 - 0 - 15 - 13		385
	10	6		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		419
	15	7		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		208
	17	1		17 - 10 - 5 - 4 - 2 - 1		125
	7	16		7 - 6 - 4 - 2 - 0 - 1 - 16		406
	6	5		6 - 4 - 2 - 0 - 1 - 16 - 5		207
	5	16		5 - 4 - 2 - 0 - 1 - 16		372
	11	17		11 - 9 - 4 - 2 - 0 - 15 - 17		260
	18	12		18 - 5 - 4 - 2 - 0 - 15 - 11 - 12		141
	13	6		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		281
	12	4		12 - 11 - 9 - 4		120
	1	3		1 - 0 - 2 - 3		139
	11	15		11 - 9 - 4 - 2 - 0 - 15		405
	12	10		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		107
	15	0		15 - 0		301
	14	0		14 - 11 - 9 - 4 - 2 - 0		41
	9	1		9 - 4 - 2 - 0 - 1		297
	9	12		9 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		197
	17	11		17 - 10 - 5 - 4 - 9 - 11		277
	13	4		13 - 12 - 11 - 9 - 4		244
	14	18		14 - 11 - 9 - 4 - 2 - 1 - 16 - 18		274
	17	16		17 - 10 - 5 - 4 - 16		347
	15	16		15 - 0 - 1 - 2 - 3 - 4 - 5 - 16		70
	12	6		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		160
	3	17		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		150
	9	14		9 - 4 - 2 - 0 - 1 - 16 - 15 - 14		145
	12	9		12 - 11 - 9		188
	17	12		17 - 10 - 5 - 4 - 9 - 11 - 12		219
	16	2		16 - 1 - 0 - 2		126
	6	15		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		54
	15	3		15 - 0 - 1 - 2 - 3		437
	14	8		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		409
	12	16		12 - 11 - 9 - 4 - 2 - 1 - 16		181
	2	9		2 - 0 - 1 - 16 - 4 - 5 - 9		436
	1	2		1 - 0 - 2		323
	15	18		15 - 0 - 1 - 2 - 3 - 4 - 5 - 18		140
	6	17		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		211
	17	3		17 - 10 - 5 - 4 - 3		9
	11	16		11 - 9 - 4 - 2 - 1 - 16		48
	10	5		10 - 5		292
	1	4		1 - 0 - 2 - 4		449
	6	12		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		52
	7	15		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		85
	17	5		17 - 10 - 5		204
	0	4		0 - 1 - 2 - 4		175
	18	15		18 - 5 - 4 - 2 - 0 - 15		379
	14	3		14 - 11 - 9 - 4 - 3		128
	6	0		6 - 4 - 2 - 0		239
	3	16		3 - 2 - 0 - 1 - 16		136
	4	8		4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		46
	10	14		10 - 5 - 4 - 2 - 0 - 15 - 14		149
	17	15		17 - 10 - 5 - 4 - 15		168
	2	16		2 - 0 - 1 - 16		288
	9	17		9 - 4 - 2 - 0 - 1 - 16 - 17		389
	2	1		2 - 0 - 1		115
	7	17		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		438
	13	5		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		301
	15	12		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12		199
	14	2		14 - 11 - 9 - 4 - 2		129
	10	7		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		304
	10	16		10 - 5 - 4 - 2 - 1 - 16		375
	13	7		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		361
	7	11		7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		227
	18	10		18 - 5 - 4 - 2 - 0 - 15 - 11 - 10		175
	16	17		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10 - 17		376
	9	10		9 - 4 - 2 - 0 - 15 - 11 - 10		35
	11	14		11 - 9 - 4 - 2 - 0 - 15 - 14		398
	12	7		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		178
	9	15		9 - 4 - 2 - 0 - 1 - 16 - 15		394
	5	7		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7		353
	1	9		1 - 0 - 2 - 3 - 4 - 5 - 9		381
	17	6		17 - 10 - 5 - 4 - 6		354
	18	14		18 - 5 - 4 - 2 - 0 - 15 - 14		316
	12	5		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		232
	14	9		14 - 11 - 9		228
	12	14		12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		444
	6	11		6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		156
	18	11		18 - 5 - 4 - 2 - 0 - 15 - 11		374
	10	12		10 - 5 - 4 - 2 - 0 - 15 - 11 - 12		377
	10	13		10 - 5 - 4 - 2 - 0 - 15 - 13		428
	16	9		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9		193
	13	1		13 - 12 - 11 - 9 - 4 - 2 - 1		407
	15	14		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 14		204
	5	18		5 - 4 - 2 - 0 - 1 - 16 - 18		138
	6	2		6 - 4 - 2		265
	13	16		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16		63
	13	11		13 - 12 - 11		235
	9	13		9 - 4 - 2 - 0 - 1 - 16 - 15 - 13		349
	18	16		18 - 5 - 4 - 2 - 1 - 16		261
	9	5		9 - 4 - 2 - 0 - 1 - 16 - 5		93
	5	0		5 - 4 - 2 - 0		326
	11	13		11 - 9 - 4 - 2 - 0 - 15 - 13		23
	5	15		5 - 4 - 2 - 0 - 15		325
	12	8		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		60
	5	10		5 - 4 - 2 - 0 - 15 - 11 - 10		363
	16	3		16 - 1 - 0 - 2 - 3		409
	4	2		4 - 2		136
	5	13		5 - 4 - 2 - 0 - 1 - 16 - 15 - 13		139
	18	13		18 - 5 - 4 - 2 - 0 - 15 - 13		350
	14	12		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		332
	9	6		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6		72
	14	17		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17		152
	10	18		10 - 5 - 4 - 2 - 1 - 16 - 18		148
	14	5		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5		32
	14	16		14 - 11 - 9 - 4 - 2 - 1 - 16		162
	4	10		4 - 2 - 0 - 1 - 16 - 5 - 10		187
	6	14		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		12
	15	2		15 - 0 - 1 - 2		176
	11	12		11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		55
	12	17		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		18
	5	14		5 - 4 - 2 - 0 - 1 - 16 - 15 - 14		76
	13	17		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		77
	7	10		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		254
	5	9		5 - 4 - 2 - 0 - 15 - 11 - 9		365
	5	12		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		401
	14	11		14 - 11		115
	3	1		3 - 2 - 0 - 1		83
	14	15		14 - 11 - 9 - 4 - 2 - 0 - 15		383
	18	8		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		403
	5	2		5 - 4 - 2		86
	6	9		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		310
	14	4		14 - 11 - 9 - 4		430
	3	9		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9		119
	16	8		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		343
	17	2		17 - 10 - 5 - 4 - 2		319
	9	16		9 - 4 - 2 - 0 - 1 - 16		328
	14	7		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		100
	18	6		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		258
	5	11		5 - 4 - 2 - 0 - 15 - 11		303
	11	9		11 - 9		110
	17	13		17 - 10 - 5 - 4 - 15 - 13		181
	9	18		9 - 4 - 2 - 0 - 1 - 16 - 18		382
	13	2		13 - 12 - 11 - 9 - 4 - 2		431
	14	1		14 - 11 - 9 - 4 - 2 - 1		381
	4	5		4 - 2 - 0 - 1 - 16 - 5		67
	7	5		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		186
	14	10		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		124
	7	0		7 - 6 - 4 - 2 - 0		49
	15	5		15 - 0 - 1 - 2 - 3 - 4 - 5		217
	4	18		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 18		205
	11	18		11 - 9 - 4 - 2 - 1 - 16 - 18		81
	14	6		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		442
	4	15		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 15		366
	12	15		12 - 11 - 9 - 4 - 2 - 0 - 15		352
	15	9		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9		374
	5	1		5 - 4 - 2 - 1		173
	4	0		4 - 2 - 0		106
	10	1		10 - 5 - 4 - 2 - 1		203
	4	7		4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		397
	9	2		9 - 4 - 2		66
	6	16		6 - 4 - 2 - 0 - 1 - 16		206
	9	4		9 - 4		67
	17	4		17 - 10 - 5 - 4		122
	6	10		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		298
	13	15		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15		309
	17	18		17 - 10 - 5 - 4 - 16 - 18		116
	13	9		13 - 12 - 11 - 9		53
	10	8		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		434
	13	10		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		339
	13	18		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		370
	0	9		0 - 1 - 2 - 3 - 4 - 5 - 9		303
	4	9		4 - 2 - 0 - 1 - 16 - 5 - 9		133
	2	18		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		164
	10	17		10 - 5 - 4 - 2 - 0 - 15 - 17		435
	14	13		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13		391
	15	11		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11		80
	4	1		4 - 2 - 0 - 1		430
	17	9		17 - 10 - 5 - 4 - 9		405
	2	7		2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		74
	7	1		7 - 6 - 4 - 2 - 0 - 1		65
	15	10		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10		361
	18	1		18 - 5 - 4 - 2 - 1		201
	6	13		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		386
	7	2		7 - 6 - 4 - 2		117
	5	17		5 - 4 - 2 - 0 - 1 - 16 - 17		56
	10	15		10 - 5 - 4 - 2 - 0 - 15		166
	18	9		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9		78
	15	8		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		248
	8	16		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16		147
	18	5		18 - 5		426
	15	1		15 - 0 - 1		294
	6	18		6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		122
	2	5		2 - 0 - 1 - 16 - 4 - 5		39
	12	0		12 - 11 - 9 - 4 - 2 - 0		330
	0	7		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		216
	18	17		18 - 5 - 4 - 2 - 0 - 15 - 17		225
	17	14		17 - 10 - 5 - 4 - 15 - 14		220
	0	8		0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		168
	15	6		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6		330
	4	17		4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		155
	5	8		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 8		118
	4	11		4 - 2 - 0 - 1 - 16 - 5 - 9 - 11		424
	2	8		2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		230
	17	0		17 - 10 - 5 - 4 - 2 - 0		322
	15	17		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10 - 17		212
	2	0		2 - 0		57
	16	1		16 - 1		396
	17	7		17 - 10 - 5 - 4 - 6 - 7		302
	9	3		9 - 4 - 3		388
	6	3		6 - 4 - 3		134
	9	11		9 - 4 - 2 - 0 - 15 - 11		116


Solucion numero: 12
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	0	12		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		60
	0	13		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		291
	0	14		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		210
	1	12		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		73
35
	1	13		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		24
124
	1	14		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		161
113
